,description,totalVal,grade
1,Pemex,81.505,all
2,China National Petroleum Corp - CNPC,78.173,all
3,Royal Dutch Shell,64.757,all
4,Petrobras,55.885,all
5,BP plc,50.699,all
6,Total SA,44.442,all
7,China Petrochemical Corp,33.6,all
8,Gazprom,32.241,all
9,Exxon Mobil Corp,31,all
10,Petroleos de Venezuela SA,29.444,all
11,Statoil ASA,29.301,all
12,Rosneft,29.236,all
13,Chevron Corp,26.775,all
14,ConocoPhillips Co,26.178,all
15,China National Offshore Oil Corp - CNOOC,26.042,all
16,Enterprise Products Co,20.95,all
17,Anadarko Petroleum Corp,20.62,all
18,ENI,20.199,all
19,Enbridge Inc,18.797,all
20,Halliburton Co,14.838,all
21,Repsol SA,13.669,all
22,Williams Companies Inc,12.775,all
23,Energy Transfer Equity LP,11.663,all
24,PTT,10.617,all
25,Chesapeake Energy Corp,10.396,all
26,Marathon Petroleum Corp,10.3,all
27,Ecopetrol SA,10.137,all
28,Devon Energy Corp,9.925,all
29,Canadian Natural Resources Ltd,9.793,all
30,Plains GP Holdings LP,9.775,all
31,Petroleos de Venezuela SA,29.444,junk
32,Chesapeake Energy Corp,10.396,junk
33,Cheniere Energy Inc,8.5,junk
34,LINN Energy LLC,6.85,junk
35,Freeport-McMoRan Inc (AZ),6.05,junk
36,Energy Transfer Equity LP,5.8,junk
37,California Resources Corp,5,junk
38,SandRidge Energy Inc,4.45,junk
39,EP Energy Corp,4.25,junk
40,Energy XXI Ltd,4.11,junk
41,Continental Resources,4.1,junk
42,Marathon Petroleum Corp,4.1,junk
43,Bashneft ANK OAO,3.87,junk
44,YPF SA,3.75,junk
45,Tesoro Corp,3.675,junk
46,Pacific Exploration & Production Corp,3.65,junk
47,HALRES LLC,3.6,junk
48,Whiting Petroleum Corp,3.4,junk
49,WPX Energy Inc,3.4,junk
50,Antero Resources Corp,3.375,junk
51,Concho Resources Inc,3.35,junk
52,Denbury Resources Inc,3.225,junk
53,SeaDrill Ltd,2.896,junk
54,American Energy Partners LP,2.775,junk
55,Range Resources Corp,2.6,junk
56,MEG Energy Corp,2.55,junk
57,Williams Companies Inc,2.51,junk
58,UGI Corp,2.47,junk
59,CGGVeritas,2.455,junk
60,Novatek OAO,2.367,junk
61,Pemex,81.505,EM
62,China National Petroleum Corp - CNPC,78.173,EM
63,Petrobras,55.885,EM
64,China Petrochemical Corp,33.6,EM
65,Gazprom,32.241,EM
66,Petroleos de Venezuela SA,29.444,EM
67,Rosneft,29.236,EM
68,China National Offshore Oil Corp - CNOOC,26.042,EM
69,PTT,10.617,EM
70,Ecopetrol SA,10.137,EM
71,Petroliam Nasional Bhd - Petronas,9.5,EM
72,NC KazMunaiGas,9.45,EM
73,SK Holdings Co Ltd,9.088,EM
74,Pertamina,8.75,EM
75,Korea National Oil,8.626,EM
76,Transneft OAO,6.18,EM
77,YPF SA,5.977,EM
78,Lukoil OAO,5.6,EM
79,Qatar Petroleum,5.484,EM
80,CPC Corp,5.263,EM
81,Shaanxi Yanchang Petroleum (Group) Co Ltd,4.966,EM
82,Novatek OAO,4.481,EM
83,GS Caltex Corp,4.389,EM
84,Reliance Industries Ltd,4.063,EM
85,Bashneft ANK OAO,3.87,EM
86,Pacific Exploration & Production Corp,3.65,EM
87,Oil & Natural Gas Corp Ltd - ONGC,3.093,EM
88,Sinochem Group,2.805,EM
89,Empresa Nacional del Petroleo - ENAP,2.753,EM
90,Indian Oil Corp Ltd,2.638,EM